idx,name,title,cluster_id,cluster_title
250,GRADEPro,GRADEPro: Browser-Based GRADE Evidence Profile and Summary of Findings Generator,C23,"GRADE, PRISMA & Systematic Review Reporting"
251,HFN786,HFN786: Component Network Meta-Analysis R Package for Multi-Component Interventions,C05,Network Meta-Analysis Statistical Methods
252,hfpef_registry_calibration,HFpEF Registry Calibration: When Registry-First Synthesis Should Replace Literature-Based Meta-Analysis,C21,"Transportability, Equity & External Validity"
253,HTML-Misc,HTML-Misc: Collection of Utility Browser Tools Including 3D Graphing Calculator,C31,Specialized Browser Tools & Research Productivity
254,hub,Hub: Central Navigation Portal for the Evidence Synthesis Tool Portfolio,C26,"Research Automation, AI Tools & Infrastructure"
256,ipd-meta-pro-link,IPD Meta-Analysis Pro: A Browser-Based Platform for Individual Participant Data Evidence Synthesis,C12,IPD & Survival Meta-Analysis
257,ipd_qma_project,IPD-QMA: Quantile Meta-Analysis for Detecting Heterogeneous Treatment Effects Across Patient Severity,C12,IPD & Survival Meta-Analysis
258,IPDSimulator,IPD Simulator: Browser-Based Reconstruction of Individual Participant Data from Published Summaries,C12,IPD & Survival Meta-Analysis
259,KMextract,KMextract: Automated Kaplan-Meier Curve Digitisation and Data Extraction,C12,IPD & Survival Meta-Analysis
260,lec_phase0_bundle,LEC Phase 0 Bundle: London Evidence Clinic Reproducibility Package,C18,Living Evidence Synthesis Infrastructure
261,lec_phase0_project,LEC Phase 0 Project: London Evidence Clinic Initial Evidence Synthesis Infrastructure,C18,Living Evidence Synthesis Infrastructure
264,LivingMA,LivingMA: Living Meta-Analysis Dashboard Framework with Timeline and What-If Analysis,C18,Living Evidence Synthesis Infrastructure
266,MAConverter,MA Converter: Universal Effect Size Translator for Meta-Analytic Inputs,C20,"HTA, Clinical Significance & Evidence Translation"
267,MAFI,MAFI: Meta-Analysis Fragility Index with Eight-Signal Publication Bias Calibration,C09,"Publication Bias, Correction & Fragility"
268,MAFI-Continuation,MAFI Calculator Complete Edition: Fragility Analysis with GRADE Integration,C09,"Publication Bias, Correction & Fragility"
269,MASampleSize,MA Sample Size Calculator: Prospective Meta-Analysis Planning with Information Size and Power Curves,C20,"HTA, Clinical Significance & Evidence Translation"
270,meta-frontier-bibliography,Meta-Frontier Annotated Bibliography: Curated Reference Collection for Methods Innovation in Evidence Synthesis,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
271,meta-frontier-readiness-atlas,Meta-Frontier Readiness Atlas: Implementation Maturity Assessment Across Evidence Synthesis Methods,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
273,new-app,Meta-Analysis Platform v2.0: Comprehensive Browser-Based Evidence Synthesis,C31,Specialized Browser Tools & Research Productivity
274,NMA,NMA: Surrogate-Assisted Network Meta-Analysis Package,C05,Network Meta-Analysis Statistical Methods
275,oman,Oman Evidence OS: Comprehensive Health Technology Assessment Platform for the Sultanate of Oman,C20,"HTA, Clinical Significance & Evidence Translation"
276,Pairwise humble,"Pairwise Pro v2.2: Decision-Driven Meta-Analysis Platform with 19,584 Lines of Interactive Evidence Synthesis",C27,Comprehensive MA Platforms & Integrated Suites
278,rayyanreplacement,Screenr v11.0: World-Class Offline-First Systematic Review Platform Replacing Rayyan and Covidence,C23,"GRADE, PRISMA & Systematic Review Reporting"
279,research-orbit-control,Research Orbit Control: Portfolio Management Dashboard for Evidence Synthesis Projects,C26,"Research Automation, AI Tools & Infrastructure"
280,Scripts,Scripts: Utility Script Collection for Evidence Synthesis Pipeline Automation,C26,"Research Automation, AI Tools & Infrastructure"
281,Stories,When Certainty Kills: The CAST Story and Narrative Evidence Communication,C31,Specialized Browser Tools & Research Productivity
282,superapp,Living Meta-Analysis Starter: Lightweight Template for Rapid Living Evidence Applications,C31,Specialized Browser Tools & Research Productivity
283,tower,Tower: Multi-Language Build and Deployment Infrastructure for Evidence Synthesis Projects,C26,"Research Automation, AI Tools & Infrastructure"
284,tower_js,Tower JS: JavaScript Runtime for Evidence Synthesis Pipeline Orchestration,C26,"Research Automation, AI Tools & Infrastructure"
286,truthcert-openclaw-supermemory-stack,TruthCert-OpenClaw-Supermemory Stack: Fail-Closed Certifier Architecture with Local-First Memory,C16,"Reproducibility, Forensics & Data Integrity"
287,TruthCert-Validation-Papers,TruthCert Validation Papers: Comprehensive Validation Studies for Fail-Closed Certification v3.1.0,C16,"Reproducibility, Forensics & Data Integrity"
288,TruthCert_v3.1.0_modeling,TruthCert v3.1.0 Modeling Pack: Statistical Models for Certification Threshold Calibration,C16,"Reproducibility, Forensics & Data Integrity"
289,TSA,TSA Pro: World-First Browser-Based Trial Sequential Analysis with Alpha-Spending and Futility Boundaries,C17,"Sequential Evidence, TSA & Adaptive Design"
290,waternajia,WaterNajia: A Bayesian Water Safety Risk Engine with Monte Carlo Simulation and Regional Bacteria Prevalence,C08,Bayesian & Shrinkage Meta-Analysis
291,AuthorshipLedger,AuthorshipLedger: DOI Deposit and Contributor Resolution for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
292,CitationWorkbench,CitationWorkbench: Citation Packet Generation for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
293,DrivePulse,DrivePulse: Live Folder Telemetry for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
294,EvidenceBridgeFHIR,EvidenceBridgeFHIR: Exporting the C Drive Evidence Portfolio into Citation and ArtifactAssessment Bundles,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
295,EvidenceCrate,EvidenceCrate: Packaging the C Drive Research Portfolio as a Static Metadata Crate,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
296,FAIRPortfolio,FAIRPortfolio: Proxy Maturity Scoring for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
297,PortfolioCatalog,PortfolioCatalog: Public Discovery Layer for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
298,PortfolioOps,PortfolioOps: Operational Fusion for the C Drive Evidence Portfolio,C29,"Portfolio Governance, Submission & Discovery"
299,ProvenanceAtlas,ProvenanceAtlas: Static Lineage Graphing for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
300,ResearchConstellation,Research Constellation: A Live Portfolio Status Atlas for the C Drive Evidence Stack,C29,"Portfolio Governance, Submission & Discovery"
301,SubmissionCockpit,SubmissionCockpit: Editorial Release Control for the C Drive Research Portfolio,C29,"Portfolio Governance, Submission & Discovery"
302,TriageWorkbench,TriageWorkbench: Rule-Based Lifecycle Freezing for the Unresolved Portfolio Queue,C29,"Portfolio Governance, Submission & Discovery"
303,ActionableEvidence,ActionableEvidence: GO/NO-GO Verdicts for Cochrane Meta-Analyses Using Six-Criterion Actionability,C19,Empirical Cochrane Corpus Studies
304,AutoReview,AutoReview: Automated Systematic Review Quality Assessment from Manuscript Text,C23,"GRADE, PRISMA & Systematic Review Reporting"
305,ContradictionMap,ContradictionMap: Detecting Where Cochrane Evidence Contradicts Itself Across Shared Primary Studies,C19,Empirical Cochrane Corpus Studies
306,EquityMA,EquityMA: PROGRESS-Plus Equity-Stratified Meta-Analysis Tool,C20,"HTA, Clinical Significance & Evidence Translation"
307,EvidenceAtlas,EvidenceAtlas: Cochrane Evidence Network of 501 Interconnected Reviews,C19,Empirical Cochrane Corpus Studies
308,EvidenceCopula,EvidenceCopula: Copula-Based Dependence Modelling for Multivariate Meta-Analysis,C22,Advanced Mathematical & Geometric Evidence Methods
309,EvidenceEntropy,EvidenceEntropy: Information-Theoretic Heterogeneity Assessment for Meta-Analysis,C22,Advanced Mathematical & Geometric Evidence Methods
310,EvidenceExtremes,EvidenceExtremes: Extreme Value Analysis for Meta-Analytic Outlier Detection,C22,Advanced Mathematical & Geometric Evidence Methods
311,EvidenceKM,EvidenceKM: Survival of Statistical Significance in Cochrane Meta-Analyses,C17,"Sequential Evidence, TSA & Adaptive Design"
312,EvidenceMap,EvidenceMap: Rapid Evidence Gap Map Generator with Bubble-Chart Visualisation,C19,Empirical Cochrane Corpus Studies
313,EvidenceScore,EvidenceScore: Composite Evidence Quality Scoring Across Multiple Assessment Dimensions,C19,Empirical Cochrane Corpus Studies
314,EvidenceSpectral,EvidenceSpectral: Spectral Analysis of Meta-Analytic Heterogeneity Patterns,C22,Advanced Mathematical & Geometric Evidence Methods
315,EvidenceTopology,EvidenceTopology: Topological Data Analysis for Meta-Analytic Clustering,C22,Advanced Mathematical & Geometric Evidence Methods
316,HyperMeta,HyperMeta: Evidence Geometry Engine with Seven Mathematical Modules,C22,Advanced Mathematical & Geometric Evidence Methods
317,InfoGeoMA,InfoGeoMA: Information-Geometric Meta-Analysis on Statistical Manifolds,C22,Advanced Mathematical & Geometric Evidence Methods
318,Integrity-Guard-Forensics,Integrity Guard Forensics: Automated Quality Assurance for Clinical Trial Reporting,C16,"Reproducibility, Forensics & Data Integrity"
319,MetaFrontierLab,MetaFrontierLab: Prototype Meta-Analysis Framework for Frontier Methods Development,C27,Comprehensive MA Platforms & Integrated Suites
320,MetaVoI,MetaVoI: Value of Information Analysis from Meta-Analysis Output,C20,"HTA, Clinical Significance & Evidence Translation"
321,MoneyTrail,MoneyTrail: Financial Conflict of Interest Detection in Clinical Trial Networks,C09,"Publication Bias, Correction & Fragility"
322,PatientMA,"PatientMA: Patient-Centred Meta-Analysis with OutcomeGap, TrialFit, and CardioEvidence Pilots",C20,"HTA, Clinical Significance & Evidence Translation"
323,PriorLab,PriorLab: Interactive Bayesian Prior Elicitation Using SHELF Methods,C08,Bayesian & Shrinkage Meta-Analysis
324,QualSynth,QualSynth: Browser-Based Qualitative Evidence Synthesis with Meta-Ethnography and CERQual,C06,Diagnostic Test Accuracy Evidence Synthesis
325,SROCPlotter,SROCPlotter: Summary Receiver Operating Characteristic Curve Generator,C06,Diagnostic Test Accuracy Evidence Synthesis
326,SafeMA,SafeMA: Anytime-Valid Sequential Meta-Analysis with E-Values,C17,"Sequential Evidence, TSA & Adaptive Design"
328,TransportMA,TransportMA: Causal Transportability Meta-Analysis for External Validity Assessment,C21,"Transportability, Equity & External Validity"
329,TrustGate,TrustGate: Trust-Weighted Meta-Meta-Analysis with Evidence Erosion Detection,C19,Empirical Cochrane Corpus Studies
330,ctgov-registry-survival,CT.gov Registry Survival: Kaplan-Meier Analysis of Trial Registration to Completion,C04,"CT.gov Registry Structure, Design & Black-Box"
331,surroNMA,SurroNMA: Surrogate-Validated Network Meta-Analysis for Oncology and Cardiology,C05,Network Meta-Analysis Statistical Methods
345,AfricaForecast,AfricaForecast: Causal Health Forecasting for 54 African Countries 2026-2036,C21,"Transportability, Equity & External Validity"
346,EnrollmentOracle,EnrollmentOracle: ML Prediction of Clinical Trial Enrollment Speed from ClinicalTrials.gov Metadata,C24,Clinical Trial Registry Audit & Surveillance
347,HTNPipeline,HyperAtlas: A Bayesian Hypertension Prevalence Pipeline with WHO and World Bank Data Integration,C24,Clinical Trial Registry Audit & Surveillance
349,ProtocolEvolution,ProtocolEvolution: Mapping Temporal Patterns of Clinical Trial Protocol Amendments Across Therapeutic Areas,C24,Clinical Trial Registry Audit & Surveillance
350,TrialAtlas,"TrialAtlas: A Network Visualization of Global Clinical Trial Connectivity Across Sites, Sponsors, and Conditions",C24,Clinical Trial Registry Audit & Surveillance
351,E156,E156: A Compact Evidence-Synthesis Micro-Paper Format for Standardized Reporting of Meta-Analytic Results,C23,"GRADE, PRISMA & Systematic Review Reporting"
355,SAARCe156Students,SAARC Clinical Trial Equity: 190 E156 Micro-Papers for Ziauddin Medical University,C18,Living Evidence Synthesis Infrastructure
356,IHMEDataLakehouse,IHME Data Lakehouse: Registry-Driven GBD Pipeline for 6 Domains,C24,Clinical Trial Registry Audit & Surveillance
357,CardioSynth,CardioSynth: Living Cardiology Evidence Synthesis Engine,C24,Clinical Trial Registry Audit & Surveillance
358,SuperTransportabilityMap,SuperTransportabilityMap: Global Generalization of ClinicalTrials.gov Evidence via Multi-Lake Demographic Calibration,C21,"Transportability, Equity & External Validity"
359,LivingMA-PFA-AF,PFA in AF: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
360,LivingMA-Watchman-Amulet,Watchman vs Amulet LAAO: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
361,LivingMA-Tricuspid-TEER,Tricuspid TEER: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
362,LivingMA-Inclisiran,Inclisiran siRNA PCSK9: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
364,LivingMA-Semaglutide-HFpEF,Semaglutide in HFpEF: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
365,LivingMA-Leadless-Pacing,Leadless Cardiac Pacing: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
366,LivingMA-CSP,CSP vs BiV-CRT: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
367,LivingMA-Coronary-IVL,Coronary IVL: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
369,LivingMA-CTFFR,CT-FFR Guided Revasc: A Transparent Living Meta-Analysis v13,C18,Living Evidence Synthesis Infrastructure
373,modern-stats-global-health,"Modern Non-Parametrics in Global Health: Integrating IHME, WHO, World Bank, and ClinicalTrials.gov Data",C24,Clinical Trial Registry Audit & Surveillance
378,LivingNMA,Browser-Based Living Network Meta-Analysis with Consistency Assessment and P-Scores,C05,Network Meta-Analysis Statistical Methods
379,EvidenceBridgeFHIR,EvidenceBridgeFHIR: Exporting the C Drive Evidence Portfolio into Citation and ArtifactAssessment Bundles,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
380,EvidenceCrate,EvidenceCrate: Packaging the C Drive Research Portfolio as a Static Metadata Crate,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
381,FAIRPortfolio,FAIRPortfolio: Proxy Maturity Scoring for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
382,PortfolioCatalog,PortfolioCatalog: Public Discovery Layer for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
383,PortfolioOps,PortfolioOps: Operational Fusion for the C Drive Evidence Portfolio,C29,"Portfolio Governance, Submission & Discovery"
384,ProvenanceAtlas,ProvenanceAtlas: Static Lineage Graphing for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
385,ResearchConstellation,Research Constellation: A Live Portfolio Status Atlas for the C Drive Evidence Stack,C29,"Portfolio Governance, Submission & Discovery"
386,SubmissionCockpit,SubmissionCockpit: Editorial Release Control for the C Drive Research Portfolio,C29,"Portfolio Governance, Submission & Discovery"
387,TriageWorkbench,TriageWorkbench: Rule-Based Lifecycle Freezing for the Unresolved Portfolio Queue,C29,"Portfolio Governance, Submission & Discovery"
390,EvidenceMapPro,EvidenceMapPro: Interactive Evidence Gap Matrix and Bubble Chart Generator,C19,Empirical Cochrane Corpus Studies
391,MultivarMA,MultivarMA: Browser Multivariate Meta-Analysis for Correlated Outcomes,C22,Advanced Mathematical & Geometric Evidence Methods
392,CostEffMA,CostEffMA: Browser Cost-Effectiveness Meta-Analysis with CEAC and NMB Pooling,C20,"HTA, Clinical Significance & Evidence Translation"
393,EcoBiasMA,EcoBiasMA: Browser Ecological Bias Detection and Correction in Meta-Analysis,C22,Advanced Mathematical & Geometric Evidence Methods
394,TargetTrialMA,TargetTrialMA: Browser Meta-Analysis of RCTs and Target Trial Emulations,C21,"Transportability, Equity & External Validity"
395,PlatformTrialMA,PlatformTrialMA: Browser Meta-Analysis for Adaptive Platform Trials with Shared Controls,C21,"Transportability, Equity & External Validity"
397,IPDNMA,IPDNMA: Browser Individual Patient Data Network Meta-Analysis,C05,Network Meta-Analysis Statistical Methods
398,FederatedMA,FederatedMA: Browser Privacy-Preserving Federated Meta-Analysis,C12,IPD & Survival Meta-Analysis
450,meta-paradigm-shift,Meta-Paradigm Shift: The Omega-Tier Evidence Operating System,C06,Diagnostic Test Accuracy Evidence Synthesis
452,ems-dta,Evidence Manifold Spline (EMS): A Geometric Alternative to Hierarchical Synthesis,C06,Diagnostic Test Accuracy Evidence Synthesis
453,gds-dta,Grand Diagnostic Synthēsis (GDS): Integrating Archaic-Future DTA Inventions,C06,Diagnostic Test Accuracy Evidence Synthesis
454,paradigm-battle-dta,Paradigm Battle: Comparing Modern Hierarchical Models with Archaic-Future Inventions,C06,Diagnostic Test Accuracy Evidence Synthesis
455,mpet-dta,Multi-Persona Evidence Tribunal (MPET): A Cross-Paradigm Review Methodology,C06,Diagnostic Test Accuracy Evidence Synthesis
456,eh-dta,Evidence Horizon (EH-DTA): An Autonomous 'Omega-Tier' Operating System,C06,Diagnostic Test Accuracy Evidence Synthesis
457,sl12-dta,Stat-Lab Twelve (SL12-DTA): Evaluating Journal-Sourced Statistical Probes,C06,Diagnostic Test Accuracy Evidence Synthesis
458,aleph-point-synthesis,Aleph-Point Synthēsis (APS): The Definitive Diagnostic Meta-Analysis Methodology,C06,Diagnostic Test Accuracy Evidence Synthesis
459,aps-methodologist-review,APS Methodologist Review (APS-MR): A Multi-Persona Architectural Audit,C06,Diagnostic Test Accuracy Evidence Synthesis
460,gma-dta,Global Manifold Audit (GMA-DTA): Massive-Scale Validation of APS v2,C06,Diagnostic Test Accuracy Evidence Synthesis
461,pem-dta,Petabyte Evidence Manifold (PEM-DTA): Ultra-Scale Evidence Stress-Testing,C06,Diagnostic Test Accuracy Evidence Synthesis
462,pem-methodologist-review,PEM Methodologist Review (PEM-MR): The 'End-of-History' Architectural Audit,C06,Diagnostic Test Accuracy Evidence Synthesis
463,ees-dta,Exascale Evidence Singularity (EES-DTA): Reaching the Absolute Limit,C06,Diagnostic Test Accuracy Evidence Synthesis
464,ees-methodologist-review,EES Methodologist Review (EES-MR): The 'Omega-Point' Architectural Audit,C06,Diagnostic Test Accuracy Evidence Synthesis
465,aleph-point-synthesis-final,Aleph-Point Synthēsis (APS): Reaching the Singularity of Evidence,C06,Diagnostic Test Accuracy Evidence Synthesis
473,DTA_Pro_v2,DTA Meta-Analysis Pro: A Browser-Based Tool for Diagnostic Test Accuracy Evidence Synthesis,C06,Diagnostic Test Accuracy Evidence Synthesis
474,Fatiha,SYNTHESIS: A 7-Layer Verification Framework for Detecting Fragile Meta-Analyses,C15,Multiverse & Specification-Robustness Analysis
475,HTA_Artifact_Standard_v2,HTA Artifact Standard: An Open-Source Platform with 41 Analytical Engines for Health Technology Assessment,C20,"HTA, Clinical Significance & Evidence Translation"
476,ma-workbench,MA Workbench: A Browser-Native Meta-Analysis Suite with Optional WebR Validation Against metafor,C27,Comprehensive MA Platforms & Integrated Suites
478,nma-pro-v2,NMA Pro: A Browser-Based Network Meta-Analysis Platform with Integrated Rapid Review,C31,Specialized Browser Tools & Research Productivity
479,shahzaib-icu-landscape,ICU Hemodynamic Trial Landscape: A Living Evidence Map,C24,Clinical Trial Registry Audit & Surveillance
480,TruthCert_PairwisePro_v2,TruthCert-PairwisePro: A Browser-Based Pairwise Meta-Analysis Engine with Seven Heterogeneity Estimators,C27,Comprehensive MA Platforms & Integrated Suites
481,sglt2i-hfpef-demo,SGLT2i in HFpEF: a browser-native benchmark reproduction,C14,"Meta-Regression, Overfitting & Precision Methods"
482,precision-sweep-e156,Precision floor for aggregate-data reproduction of fixed-effects 2-trial pools,C14,"Meta-Regression, Overfitting & Precision Methods"
483,dissonance-field-synthesis,Dissonance Field Synthesis: A Non-Pooling Evidence-Synthesis Technique with Pharmacology Conservation Laws (POC in MRA-HFpEF),C08,Bayesian & Shrinkage Meta-Analysis
486,advanced-nma-pooling,Advanced NMA Pooling Toolkit with Bias Adjustment and Survival Extensions,C05,Network Meta-Analysis Statistical Methods
486,arac,ARAC: An End-to-End African Representation Atlas of Cochrane with Per-Trial Verification UI,C21,"Transportability, Equity & External Validity"
487,Pairwise70,MAFI: Meta-Analytic Fragility Index Across 501 Cochrane Pairwise Reviews,C09,"Publication Bias, Correction & Fragility"
490,AuthorshipLedger,AuthorshipLedger: DOI Deposit and Contributor Resolution for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
491,CitationWorkbench,CitationWorkbench: Citation Packet Generation for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
492,DrivePulse,DrivePulse: Live Folder Telemetry for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
493,EvidenceCollapsar,The Evidence Collapsar: A Quantum Meta-Analysis Engine,C22,Advanced Mathematical & Geometric Evidence Methods
494,TDA-Meta,Topological Evidence Gaps: Identifying Structural Voids in Global Medical Research,C22,Advanced Mathematical & Geometric Evidence Methods
495,RetractionGravity,Retraction Gravity: Portfolio Impact Mapping of Clinical Evidence Failures,C17,"Sequential Evidence, TSA & Adaptive Design"
496,TheAlephEngine,The Aleph Engine: A Grand Unified Meta-Analysis Equation (GUME),C22,Advanced Mathematical & Geometric Evidence Methods
549,mahmood726-cyber.github.io,Evidence Synthesis Portfolio Site: Reproducibility Capsule,C26,"Research Automation, AI Tools & Infrastructure"
557,nur-pce,NUR-PCE — Personalised Counterfactual Engine for cardiorenal trials (POC v0.1),C08,Bayesian & Shrinkage Meta-Analysis
558,responder-floor-atlas,Responder Floor Atlas: Implied Minimum Important Differences in Cochrane Responder-Rate Analyses Exceed Canonical Thresholds by 1.2- to 3.3-Fold,C14,"Meta-Regression, Overfitting & Precision Methods"
559,trial-truthfulness-atlas,Trial Truthfulness Atlas: Five Upstream Integrity Flags Between CT.gov Registration and Cochrane Meta-Analysis Inputs,C16,"Reproducibility, Forensics & Data Integrity"
560,outcome-switching-ma-hf,Outcome-Switching in Heart-Failure Phase 3 Trials: CT.gov v2 API Misses 100% of Initial-vs-Current Primary-Outcome Drift,C16,"Reproducibility, Forensics & Data Integrity"
679,tiba (2026-05-06),African evidence is hidden from existing synthesis infrastructure: a calibration study and a proposed framework (Tiba),C21,"Transportability, Equity & External Validity"
1747,adaptsim,AdaptSim: A Browser-Based Simulator for Adaptive Group-Sequential Trial Design Matching rpact to Four Decimal Places,C17,"Sequential Evidence, TSA & Adaptive Design"
1748,africa-rct,AfricaRCT Observatory: Reproducibility Capsule for African Trial-Methods Audits,C21,"Transportability, Equity & External Validity"
1749,al-mizan,Al-Mizan: An Evidence Equipoise Monitor for Detecting When the Balance of Evidence Has Tipped,C17,"Sequential Evidence, TSA & Adaptive Design"
1751,asa,Asa: A Seven-Method Forensic Data Integrity Screener for Clinical Trial Datasets,C16,"Reproducibility, Forensics & Data Integrity"
1752,authorship-ledger,AuthorshipLedger: DOI Deposit and Contributor Resolution for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
1753,autograde-tool,AutoGRADE: Algorithmic Certainty of Evidence Assessment for Meta-Analytic Outputs,C23,"GRADE, PRISMA & Systematic Review Reporting"
1754,bayesianma,BayesianMA: Browser-Based Bayesian Random-Effects Meta-Analysis with Prior Sensitivity Analysis,C08,Bayesian & Shrinkage Meta-Analysis
1755,benfordma,Benford Screening of 1.2 Million Meta-Analytic Values Finds No Corpus-Level Digit Anomaly,C16,"Reproducibility, Forensics & Data Integrity"
1756,bias-forensics,The Bias Fingerprint: Eight Methods Disagree in One of Seven Cochrane Meta-Analyses,C09,"Publication Bias, Correction & Fragility"
1757,cardio-trial-audit,"Structural Flaw Prevalence in 52,765 Cardiology Trials: An Automated Registry Audit",C24,Clinical Trial Registry Audit & Surveillance
1758,cardiooracle,CardioOracle: Predicting Cardiovascular Trial Outcomes Using Bayesian Historical Borrowing and Design Feature Analysis (AUC 0.787),C26,"Research Automation, AI Tools & Infrastructure"
1759,cbamm-lfa,CBAMM: Collaborative Bayesian Adaptive Meta-Analysis with Population Transportability and Sequential Monitoring,C08,Bayesian & Shrinkage Meta-Analysis
1760,citation-workbench,CitationWorkbench: Citation Packet Generation for the C Drive Portfolio,C29,"Portfolio Governance, Submission & Discovery"
1762,cochrane-data-extractor,Cochrane Data Extractor: Automated Dataset Harvesting from Cochrane Systematic Reviews,C26,"Research Automation, AI Tools & Infrastructure"
1763,component-nma,Component NMA: A Browser-Based Tool for Additive Component Network Meta-Analysis,C05,Network Meta-Analysis Statistical Methods
1764,conformal-ma,Conformal Prediction Intervals for Meta-Analysis: Distribution-Free Coverage Across 307 Cochrane Reviews,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
1765,cres,CRES: Browser-Based Cardiorenal Evidence Synthesis with Integrated Meta-Analysis and Health-Economic Modelling,C20,"HTA, Clinical Significance & Evidence Translation"
1766,ctgov-black-box-sponsor-repeaters,CT.gov Black-Box Sponsor Repeaters,C04,"CT.gov Registry Structure, Design & Black-Box"
1767,ctgov-black-box-trials,CT.gov Black-Box Trials,C04,"CT.gov Registry Structure, Design & Black-Box"
1768,ctgov-condition-text-asymmetry,CT.gov Condition Text Asymmetry,C01,CT.gov Condition-Dimension Hiddenness
1769,ctgov-country-excess-watchlist,CT.gov Country Excess Watchlist,C02,CT.gov Country-Dimension Hiddenness
1770,ctgov-description-black-box-repeaters,CT.gov Description-Black-Box Repeaters,C04,"CT.gov Registry Structure, Design & Black-Box"
1771,ctgov-publication-index-gap,CT.gov Publication Index Gap,C04,"CT.gov Registry Structure, Design & Black-Box"
1772,ctgov-publication-undercount-audit,CT.gov Publication Undercount Audit,C04,"CT.gov Registry Structure, Design & Black-Box"
1773,ctgov-search-strategies,CT.gov Search Strategy Tool: Systematic Review Search Validation with 99 Percent API Recall,C04,"CT.gov Registry Structure, Design & Black-Box"
1774,ctgov-sponsor-ancient-backlog,CT.gov Sponsor Ancient Backlog,C03,CT.gov Sponsor & Industry Repeaters
1775,ctgov-sponsor-backlog-concentration,CT.gov Sponsor Backlog Concentration,C03,CT.gov Sponsor & Industry Repeaters
1776,dosehtml,Dose Response Pro: Browser-Based Dose-Response Meta-Analysis Matching R Accuracy,C31,Specialized Browser Tools & Research Productivity
1777,dpma,Dirichlet Process Meta-Analysis,C08,Bayesian & Shrinkage Meta-Analysis
1778,drive-pulse,DrivePulse: Live Folder Telemetry for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
1779,dta-pro-v2,DTA Meta-Analysis Pro: A Browser-Based Tool for Diagnostic Test Accuracy Evidence Synthesis,C06,Diagnostic Test Accuracy Evidence Synthesis
1780,enma-snma,Ensemble and Spectral Network Meta-Analysis: Novel Inconsistency-Robust Methods,C05,Network Meta-Analysis Statistical Methods
1781,evidence-board,Evidence Board: A Browser-Based Structured Note System for Systematic Review Screening,C23,"GRADE, PRISMA & Systematic Review Reporting"
1782,evidence-bridge-fhir,EvidenceBridgeFHIR: Exporting the C Drive Evidence Portfolio into Citation and ArtifactAssessment Bundles,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
1783,evidence-crate,EvidenceCrate: Packaging the C Drive Research Portfolio as a Static Metadata Crate,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
1784,evidence-half-life,The Evidence Half-Life: 52% of Meta-Analyses Never Reach Analytical Stability,C17,"Sequential Evidence, TSA & Adaptive Design"
1785,evidence-quality-concordance,The Cochrane Quality Concordance: Six Orthogonal Dimensions of Evidence Reliability,C19,Empirical Cochrane Corpus Studies
1786,evidence-tribunal,The Evidence Tribunal: Adversarial Specification Search Across 403 Cochrane Meta-Analyses,C15,Multiverse & Specification-Robustness Analysis
1787,evidencehalflife,The Evidence Half-Life: 52% of Meta-Analyses Never Reach Analytical Stability,C17,"Sequential Evidence, TSA & Adaptive Design"
1788,fair-portfolio,FAIRPortfolio: Proxy Maturity Scoring for the C Drive Evidence Portfolio,C28,"Portfolio FAIR, Provenance & Data Infrastructure"
