idx,name,title,type,category,pub_status
1,501MLM,MLM501: Cochrane Multilevel Meta-Analysis Effects Table from 501 Reviews,methods  |  ESTIMAND: SMD,methods-paper,unpublished
191,ctgov-condition-ghost-watchlist,CT.gov Condition Ghost Watchlist,methods  |  ESTIMAND: Excess ghost-protocol stock across condition families,methods-paper,unpublished
192,ctgov-condition-narrative-gap,CT.gov Condition Narrative Gap,methods  |  ESTIMAND: Narrative-gap stock among older studies missing both detailed descriptions and primary outcome descriptions,methods-paper,unpublished
193,ctgov-condition-overdue-debt,CT.gov Condition Overdue Debt,methods  |  ESTIMAND: Total unresolved years beyond the two-year results mark across CT.gov condition families,methods-paper,unpublished
194,ctgov-condition-primary-only-gap,CT.gov Condition Primary-Only Gap,methods  |  ESTIMAND: Primary-only-gap stock among older studies missing the primary outcome description field while retaining the detailed description field,methods-paper,unpublished
195,ctgov-condition-primary-outcome-gap,CT.gov Condition Primary-Outcome Gap,methods  |  ESTIMAND: Primary-outcome-gap stock among older studies missing the primary outcome description field,methods-paper,unpublished
196,ctgov-condition-sponsor-repeaters,CT.gov Condition Sponsor Repeaters,methods  |  ESTIMAND: Sponsor-level 2-year no-results counts within selected disease families among eligible older CT.gov studies,methods-paper,unpublished
197,ctgov-condition-text-asymmetry,CT.gov Condition Text Asymmetry,"methods  |  ESTIMAND: Condition-family text asymmetry, defined as description-only gaps minus primary-only gaps",methods-paper,unpublished
198,ctgov-country-ancient-backlog,CT.gov Country Ancient Backlog,methods  |  ESTIMAND: Ancient-backlog stock among older closed interventional studies unresolved at least ten overdue years beyond the two-year mark,methods-paper,unpublished
199,ctgov-country-condition-hiddenness,CT.gov Country-Condition Hiddenness,methods  |  ESTIMAND: 2-year no-results rate across selected country-by-condition cells among eligible older CT.gov studies,methods-paper,unpublished
200,ctgov-country-description-black-box,CT.gov Country Description Black-Box,"methods  |  ESTIMAND: Description black-box stock among older studies with no results, no linked publication, no detailed description, and no primary outcome description",methods-paper,unpublished
201,ctgov-country-detailed-description-gap,CT.gov Country Detailed-Description Gap,methods  |  ESTIMAND: Detailed-description-gap stock among older studies missing the detailed description field,methods-paper,unpublished
202,ctgov-country-enrollment-gap,CT.gov Country Enrollment Gap,methods  |  ESTIMAND: Enrollment-gap stock among older studies missing actual enrollment,methods-paper,unpublished
203,ctgov-country-excess-watchlist,CT.gov Country Excess Watchlist,methods  |  ESTIMAND: Adjusted excess no-results and ghost stock across country-linked study portfolios with at least 500 linked studies,methods-paper,unpublished
204,ctgov-country-ghost-watchlist,CT.gov Country Ghost Watchlist,methods  |  ESTIMAND: Excess ghost-protocol stock across country-linked study portfolios,methods-paper,unpublished
205,ctgov-country-narrative-gap,CT.gov Country Narrative Gap,methods  |  ESTIMAND: Narrative-gap stock among older studies missing both detailed descriptions and primary outcome descriptions,methods-paper,unpublished
206,ctgov-country-overdue-debt,CT.gov Country Overdue Debt,methods  |  ESTIMAND: Total unresolved years beyond the two-year results mark across country-linked study portfolios with at least 500 studies,methods-paper,unpublished
207,ctgov-country-primary-only-gap,CT.gov Country Primary-Only Gap,methods  |  ESTIMAND: Primary-only-gap stock among older studies missing the primary outcome description field while retaining the detailed description field,methods-paper,unpublished
208,ctgov-country-primary-outcome-gap,CT.gov Country Primary-Outcome Gap,methods  |  ESTIMAND: Primary-outcome-gap stock among older studies missing the primary outcome description field,methods-paper,unpublished
210,ctgov-country-sponsor-repeaters,CT.gov Country Sponsor Repeaters,methods  |  ESTIMAND: Sponsor-level missing-results counts within selected country-linked older CT.gov portfolios,methods-paper,unpublished
211,ctgov-country-text-asymmetry,CT.gov Country Text Asymmetry,"methods  |  ESTIMAND: Net description-vs-endpoint asymmetry among older studies, defined as description-only gaps minus primary-only gaps",methods-paper,unpublished
212,ctgov-description-black-box-repeaters,CT.gov Description-Black-Box Repeaters,"methods  |  ESTIMAND: Description black-box stock among older studies with no results, no linked publication, no detailed description, and no primary outcome description",methods-paper,unpublished
213,ctgov-design-purpose-hiddenness,CT.gov Design-Purpose Hiddenness,methods  |  ESTIMAND: 2-year no-results rate across primary-purpose groups among eligible older CT.gov studies,methods-paper,unpublished
214,ctgov-disease-geography-gap,CT.gov Disease Geography Gap,methods  |  ESTIMAND: 2-year no-results rate across geography buckets within selected disease families among eligible older CT.gov studies,methods-paper,unpublished
215,ctgov-enrollment-size-gap,CT.gov Enrollment-Size Gap,methods  |  ESTIMAND: 2-year no-results rate across enrollment-size buckets among eligible older CT.gov studies,methods-paper,unpublished
217,ctgov-industry-family-repeaters,CT.gov Industry Family Repeaters,methods  |  ESTIMAND: Industry sponsor missing-results counts within intervention families among eligible older CT.gov studies,methods-paper,unpublished
218,ctgov-intervention-type-gap,CT.gov Intervention-Type Gap,methods  |  ESTIMAND: 2-year no-results rate across declared intervention families among eligible older CT.gov studies,methods-paper,unpublished
219,ctgov-modality-sponsor-repeaters,CT.gov Modality Sponsor Repeaters,methods  |  ESTIMAND: Sponsor-level 2-year no-results counts within intervention families among eligible older CT.gov studies,methods-paper,unpublished
220,ctgov-narrative-gap-repeaters,CT.gov Narrative Gap Repeaters,methods  |  ESTIMAND: Narrative-gap stock and rate among named lead sponsors with at least 100 older studies,methods-paper,unpublished
225,ctgov-risk-adjusted-hiddenness,CT.gov Risk-Adjusted Hiddenness,methods  |  ESTIMAND: Excess missing-results stock over model-expected missing-results counts among eligible older CT.gov studies,methods-paper,unpublished
226,ctgov-sponsor-ancient-backlog,CT.gov Sponsor Ancient Backlog,methods  |  ESTIMAND: Ancient-backlog stock among older closed interventional studies unresolved at least ten overdue years beyond the two-year mark,methods-paper,unpublished
227,ctgov-sponsor-class-primary-only-gap,CT.gov Sponsor-Class Primary-Only Gap,methods  |  ESTIMAND: Primary-only-gap stock among older studies missing the primary outcome description field while retaining the detailed description field,methods-paper,unpublished
228,ctgov-sponsor-detailed-description-gap,CT.gov Sponsor Detailed-Description Gap,methods  |  ESTIMAND: Detailed-description-gap stock among older studies missing the detailed description field,methods-paper,unpublished
229,ctgov-sponsor-enrollment-gap-repeaters,CT.gov Sponsor Enrollment-Gap Repeaters,methods  |  ESTIMAND: Enrollment-gap stock among older studies missing actual enrollment,methods-paper,unpublished
230,ctgov-sponsor-excess-watchlist,CT.gov Sponsor Excess Watchlist,methods  |  ESTIMAND: Adjusted excess no-results and ghost-protocol stock among named lead sponsors with at least 100 older studies,methods-paper,unpublished
231,ctgov-sponsor-ghost-repeaters,CT.gov Sponsor Ghost Repeaters,methods  |  ESTIMAND: Excess ghost-protocol stock among named lead sponsors with at least 100 older studies,methods-paper,unpublished
232,ctgov-sponsor-overdue-debt,CT.gov Sponsor Overdue Debt,methods  |  ESTIMAND: Total unresolved years beyond the two-year results mark among named lead sponsors with at least 100 older studies,methods-paper,unpublished
233,ctgov-sponsor-primary-only-gap,CT.gov Sponsor Primary-Only Gap,methods  |  ESTIMAND: Primary-only-gap stock among older studies missing the primary outcome description field while retaining the detailed description field,methods-paper,unpublished
234,ctgov-sponsor-primary-outcome-gap,CT.gov Sponsor Primary-Outcome Gap,methods  |  ESTIMAND: Primary-outcome-gap stock among older studies missing the primary outcome description field,methods-paper,unpublished
235,ctgov-sponsor-text-asymmetry,CT.gov Sponsor Text Asymmetry,"methods  |  ESTIMAND: Net description-vs-endpoint asymmetry among older studies, defined as description-only gaps minus primary-only gaps",methods-paper,unpublished
236,ctgov-stopped-trial-disclosure-gap,CT.gov Stopped-Trial Disclosure Gap,methods  |  ESTIMAND: 2-year no-results rate across final-status groups among eligible older CT.gov studies,methods-paper,unpublished
237,ctgov-strict-core-black-box,CT.gov Strict-Core Black-Box,methods  |  ESTIMAND: Named-sponsor and sponsor-class black-box stock inside the strict U.S.-nexus proxy core,methods-paper,unpublished
238,ctgov-strict-proxy-repeaters,CT.gov Strict-Proxy Repeaters,methods  |  ESTIMAND: Named-sponsor and sponsor-class missing-results stock inside the strict U.S.-nexus proxy core,methods-paper,unpublished
240,ctgov-us-vs-exus-sponsor-classes,CT.gov U.S. Versus Ex-U.S. Sponsor Classes,"methods  |  ESTIMAND: 2-year no-results rate across sponsor classes within any-U.S., no-U.S., and no-country older CT.gov portfolios",methods-paper,unpublished
242,Denominator_Calibrated_Living_NMA,Denominator-Calibrated Living NMA: Registry-First Network Meta-Analysis with Sample Size Adjustment,methods  |  ESTIMAND: Denominator-calibrated pooled treatment ranking,methods-paper,unpublished
243,esc-acs-living-meta,ESC ACS Living Meta: Shared Cardiovascular Living Meta-Analysis Engine with GRADE Assessment and Topic-Context Validation,methods  |  ESTIMAND: documentation proportion,methods-paper,unpublished
244,EvidenceGapMap,Evidence Gap Map: Interactive Bubble-Chart Visualisation of Research Coverage Across Clinical Domains,methods  |  ESTIMAND: Evidence coverage proportion by intervention-outcome cell,methods-paper,unpublished
246,EvidenceOracle,EvidenceOracle: Machine Learning Prediction of Meta-Analytic Result Instability,methods  |  ESTIMAND: AUC for predicting meta-analysis instability,methods-paper,unpublished
247,experimental-meta-analysis,Experimental Meta-Analysis Framework: 300+ Methods with Simulation Infrastructure,"methods  |  ESTIMAND: Method performance metrics (coverage, MSE, bias)",methods-paper,unpublished
248,Fatiha-Course,Advanced Meta-Analysis Course: A 25-Module Interactive Educational Platform,methods  |  ESTIMAND: Module completion and quiz performance metrics,methods-paper,unpublished
249,finalpaper,Final Paper Compilation: Meta-Analytic Evidence Synthesis Manuscript Assembly,methods  |  ESTIMAND: Manuscript completeness and reporting compliance,methods-paper,unpublished
250,GRADEPro,GRADEPro: Browser-Based GRADE Evidence Profile and Summary of Findings Generator,methods  |  ESTIMAND: GRADE certainty rating concordance with expert consensus,methods-paper,unpublished
251,HFN786,HFN786: Component Network Meta-Analysis R Package for Multi-Component Interventions,methods  |  ESTIMAND: Component-level treatment effect estimates,methods-paper,unpublished
252,hfpef_registry_calibration,HFpEF Registry Calibration: When Registry-First Synthesis Should Replace Literature-Based Meta-Analysis,methods  |  ESTIMAND: Calibration slope for registry-first vs literature-based synthesis,methods-paper,unpublished
253,HTML-Misc,HTML-Misc: Collection of Utility Browser Tools Including 3D Graphing Calculator,methods  |  ESTIMAND: Rendering accuracy for mathematical function visualisation,methods-paper,unpublished
254,hub,Hub: Central Navigation Portal for the Evidence Synthesis Tool Portfolio,methods  |  ESTIMAND: Tool discoverability and navigation efficiency,methods-paper,unpublished
255,IPD Zahid,IPD Zahid: Individual Participant Data Meta-Analysis of Cardiovascular Outcomes,clinical  |  ESTIMAND: Pooled hazard ratio from IPD meta-analysis,clinical-meta-analysis,unpublished
256,ipd-meta-pro-link,IPD Meta-Analysis Pro: A Browser-Based Platform for Individual Participant Data Evidence Synthesis,methods  |  ESTIMAND: Pooled IPD treatment effect,methods-paper,unpublished
257,ipd_qma_project,IPD-QMA: Quantile Meta-Analysis for Detecting Heterogeneous Treatment Effects Across Patient Severity,methods  |  ESTIMAND: Quantile-specific treatment effect with bootstrap CI,methods-paper,unpublished
258,IPDSimulator,IPD Simulator: Browser-Based Reconstruction of Individual Participant Data from Published Summaries,methods  |  ESTIMAND: Reconstruction accuracy (KS statistic vs original IPD),methods-paper,unpublished
259,KMextract,KMextract: Automated Kaplan-Meier Curve Digitisation and Data Extraction,methods  |  ESTIMAND: Digitisation accuracy (mean absolute error vs original coordinates),methods-paper,unpublished
260,lec_phase0_bundle,LEC Phase 0 Bundle: London Evidence Clinic Reproducibility Package,methods  |  ESTIMAND: Bundle completeness and reproducibility score,methods-paper,unpublished
261,lec_phase0_project,LEC Phase 0 Project: London Evidence Clinic Initial Evidence Synthesis Infrastructure,methods  |  ESTIMAND: Infrastructure readiness and pipeline validation pass rate,methods-paper,unpublished
262,LFAHFN,LFAHFN: Left Atrial Appendage and Heart Failure Network Analysis,clinical  |  ESTIMAND: Pooled hazard ratio for stroke prevention outcomes,clinical-meta-analysis,unpublished
263,Living metas,RapidMeta Cardiology: Finerenone Ultra-Precision Living Meta-Analysis Platform,clinical  |  ESTIMAND: Pooled hazard ratio for cardiovascular and renal outcomes,clinical-meta-analysis,unpublished
264,LivingMA,LivingMA: Living Meta-Analysis Dashboard Framework with Timeline and What-If Analysis,methods  |  ESTIMAND: Cumulative pooled estimate with temporal change-point detection,methods-paper,unpublished
265,LivingMeta_Watchman_Amulet,Watchman vs Amulet Living Meta-Analysis: Comparative Effectiveness of Left Atrial Appendage Closure Devices,clinical  |  ESTIMAND: Pooled risk ratio for device-related complications and stroke,clinical-meta-analysis,unpublished
266,MAConverter,MA Converter: Universal Effect Size Translator for Meta-Analytic Inputs,methods  |  ESTIMAND: Converted effect size with propagated confidence interval,methods-paper,unpublished
267,MAFI,MAFI: Meta-Analysis Fragility Index with Eight-Signal Publication Bias Calibration,methods  |  ESTIMAND: Calibrated publication bias probability (0-100),methods-paper,unpublished
268,MAFI-Continuation,MAFI Calculator Complete Edition: Fragility Analysis with GRADE Integration,methods  |  ESTIMAND: Fragility index with GRADE-informed certainty adjustment,methods-paper,unpublished
269,MASampleSize,MA Sample Size Calculator: Prospective Meta-Analysis Planning with Information Size and Power Curves,methods  |  ESTIMAND: Required number of studies and total sample size for target power,methods-paper,unpublished
270,meta-frontier-bibliography,Meta-Frontier Annotated Bibliography: Curated Reference Collection for Methods Innovation in Evidence Synthesis,methods  |  ESTIMAND: Bibliographic coverage across methods frontiers,methods-paper,unpublished
271,meta-frontier-readiness-atlas,Meta-Frontier Readiness Atlas: Implementation Maturity Assessment Across Evidence Synthesis Methods,methods  |  ESTIMAND: Readiness score per method frontier,methods-paper,unpublished
272,minireview,CRES v4.0: CardioRenal Evidence Synthesizer with Multi-Endpoint Living Meta-Analysis,clinical  |  ESTIMAND: Pooled hazard ratio for cardiovascular and renal composite endpoints,clinical-meta-analysis,unpublished
273,new-app,Meta-Analysis Platform v2.0: Comprehensive Browser-Based Evidence Synthesis,methods  |  ESTIMAND: Pooled effect estimate with heterogeneity statistics,methods-paper,unpublished
274,NMA,NMA: Surrogate-Assisted Network Meta-Analysis Package,methods  |  ESTIMAND: Network pooled treatment effect with surrogate endpoint calibration,methods-paper,unpublished
275,oman,Oman Evidence OS: Comprehensive Health Technology Assessment Platform for the Sultanate of Oman,methods  |  ESTIMAND: HTA recommendation concordance with established agencies,methods-paper,unpublished
276,Pairwise humble,"Pairwise Pro v2.2: Decision-Driven Meta-Analysis Platform with 19,584 Lines of Interactive Evidence Synthesis",methods  |  ESTIMAND: Pooled effect estimate with 15+ heterogeneity estimators,methods-paper,unpublished
277,PFA_AF_LivingMeta,PFA in AF Living Meta-Analysis: Pulsed Field Ablation for Atrial Fibrillation Evidence Surveillance,clinical  |  ESTIMAND: Pooled success rate and complication rate with monitoring boundaries,clinical-meta-analysis,unpublished
278,rayyanreplacement,Screenr v11.0: World-Class Offline-First Systematic Review Platform Replacing Rayyan and Covidence,methods  |  ESTIMAND: Screening throughput and inter-rater agreement metrics,methods-paper,unpublished
279,research-orbit-control,Research Orbit Control: Portfolio Management Dashboard for Evidence Synthesis Projects,methods  |  ESTIMAND: Portfolio completion rate and project status tracking,methods-paper,unpublished
280,Scripts,Scripts: Utility Script Collection for Evidence Synthesis Pipeline Automation,methods  |  ESTIMAND: Pipeline automation coverage across evidence synthesis tasks,methods-paper,unpublished
281,Stories,When Certainty Kills: The CAST Story and Narrative Evidence Communication,methods  |  ESTIMAND: Narrative engagement and evidence comprehension metrics,methods-paper,unpublished
282,superapp,Living Meta-Analysis Starter: Lightweight Template for Rapid Living Evidence Applications,methods  |  ESTIMAND: Template deployment time and customisation effort,methods-paper,unpublished
283,tower,Tower: Multi-Language Build and Deployment Infrastructure for Evidence Synthesis Projects,methods  |  ESTIMAND: Build success rate and deployment pipeline reliability,methods-paper,unpublished
284,tower_js,Tower JS: JavaScript Runtime for Evidence Synthesis Pipeline Orchestration,methods  |  ESTIMAND: Pipeline execution reliability and task completion rate,methods-paper,unpublished
285,Tricuspid_TEER_LivingMeta,Tricuspid TEER Living Meta-Analysis: Edge-Repair Evidence Surveillance for Severe Tricuspid Regurgitation,clinical  |  ESTIMAND: Pooled reduction in tricuspid regurgitation grade,clinical-meta-analysis,unpublished
286,truthcert-openclaw-supermemory-stack,TruthCert-OpenClaw-Supermemory Stack: Fail-Closed Certifier Architecture with Local-First Memory,methods  |  ESTIMAND: Certification protocol compliance rate,methods-paper,unpublished
287,TruthCert-Validation-Papers,TruthCert Validation Papers: Comprehensive Validation Studies for Fail-Closed Certification v3.1.0,methods  |  ESTIMAND: Validation pass rate across certification scenarios,methods-paper,unpublished
288,TruthCert_v3.1.0_modeling,TruthCert v3.1.0 Modeling Pack: Statistical Models for Certification Threshold Calibration,methods  |  ESTIMAND: Optimal certification threshold (sensitivity-specificity trade-off),methods-paper,unpublished
289,TSA,TSA Pro: World-First Browser-Based Trial Sequential Analysis with Alpha-Spending and Futility Boundaries,methods  |  ESTIMAND: Cumulative Z-statistic relative to monitoring boundaries,methods-paper,unpublished
290,waternajia,WaterNajia: A Bayesian Water Safety Risk Engine with Monte Carlo Simulation and Regional Bacteria Prevalence,methods  |  ESTIMAND: Posterior risk probability with 95% credible interval,methods-paper,unpublished
291,AuthorshipLedger,AuthorshipLedger: DOI Deposit and Contributor Resolution for the C Drive Portfolio,methods  |  ESTIMAND: proportion of indexed projects reaching full DOI-registrable state,methods-paper,unpublished
292,CitationWorkbench,CitationWorkbench: Citation Packet Generation for the C Drive Portfolio,methods  |  ESTIMAND: proportion of indexed projects reaching high citation readiness,methods-paper,unpublished
293,DrivePulse,DrivePulse: Live Folder Telemetry for the C Drive Evidence Portfolio,methods  |  ESTIMAND: proportion of specific indexed paths exposing git repositories,methods-paper,unpublished
294,EvidenceBridgeFHIR,EvidenceBridgeFHIR: Exporting the C Drive Evidence Portfolio into Citation and ArtifactAssessment Bundles,methods  |  ESTIMAND: ArtifactAssessment coverage across exported projects,methods-paper,unpublished
295,EvidenceCrate,EvidenceCrate: Packaging the C Drive Research Portfolio as a Static Metadata Crate,methods  |  ESTIMAND: explicit lifecycle coverage in packaged entities,methods-paper,unpublished
296,FAIRPortfolio,FAIRPortfolio: Proxy Maturity Scoring for the C Drive Evidence Portfolio,methods  |  ESTIMAND: proportion of projects scoring at least 70/100 on the FAIR-style proxy scale,methods-paper,unpublished
297,PortfolioCatalog,PortfolioCatalog: Public Discovery Layer for the C Drive Portfolio,methods  |  ESTIMAND: proportion of indexed projects reaching high discoverability coverage,methods-paper,unpublished
298,PortfolioOps,PortfolioOps: Operational Fusion for the C Drive Evidence Portfolio,methods  |  ESTIMAND: proportion of projects classified as operationally backed,methods-paper,unpublished
299,ProvenanceAtlas,ProvenanceAtlas: Static Lineage Graphing for the C Drive Evidence Portfolio,methods  |  ESTIMAND: explicit lifecycle coverage in the provenance graph,methods-paper,unpublished
300,ResearchConstellation,Research Constellation: A Live Portfolio Status Atlas for the C Drive Evidence Stack,methods  |  ESTIMAND: explicit status coverage,methods-paper,unpublished
301,SubmissionCockpit,SubmissionCockpit: Editorial Release Control for the C Drive Research Portfolio,methods  |  ESTIMAND: proportion of indexed projects currently carrying resolved submission-ready status,methods-paper,unpublished
302,TriageWorkbench,TriageWorkbench: Rule-Based Lifecycle Freezing for the Unresolved Portfolio Queue,methods  |  ESTIMAND: non-triage recommendation coverage across unresolved rows,methods-paper,unpublished
303,ActionableEvidence,ActionableEvidence: GO/NO-GO Verdicts for Cochrane Meta-Analyses Using Six-Criterion Actionability,methods  |  ESTIMAND: Actionability classification (GO/CAUTION/NO-GO),methods-paper,unpublished
304,AutoReview,AutoReview: Automated Systematic Review Quality Assessment from Manuscript Text,methods  |  ESTIMAND: Reporting quality score and AMSTAR-2 compliance rate,methods-paper,unpublished
305,ContradictionMap,ContradictionMap: Detecting Where Cochrane Evidence Contradicts Itself Across Shared Primary Studies,methods  |  ESTIMAND: Contradiction rate across overlapping reviews,methods-paper,unpublished
306,EquityMA,EquityMA: PROGRESS-Plus Equity-Stratified Meta-Analysis Tool,methods  |  ESTIMAND: Equity-stratified pooled effect with subgroup interaction test,methods-paper,unpublished
307,EvidenceAtlas,EvidenceAtlas: Cochrane Evidence Network of 501 Interconnected Reviews,methods  |  ESTIMAND: Network connectivity and shared-study overlap metrics,methods-paper,unpublished
308,EvidenceCopula,EvidenceCopula: Copula-Based Dependence Modelling for Multivariate Meta-Analysis,methods  |  ESTIMAND: Joint dependence structure between correlated meta-analytic outcomes,methods-paper,unpublished
309,EvidenceEntropy,EvidenceEntropy: Information-Theoretic Heterogeneity Assessment for Meta-Analysis,methods  |  ESTIMAND: Shannon entropy and mutual information of study-level effects,methods-paper,unpublished
310,EvidenceExtremes,EvidenceExtremes: Extreme Value Analysis for Meta-Analytic Outlier Detection,methods  |  ESTIMAND: Generalised extreme value distribution parameters for outlier classification,methods-paper,unpublished
311,EvidenceKM,EvidenceKM: Survival of Statistical Significance in Cochrane Meta-Analyses,methods  |  ESTIMAND: Median time to loss of statistical significance,methods-paper,unpublished
312,EvidenceMap,EvidenceMap: Rapid Evidence Gap Map Generator with Bubble-Chart Visualisation,methods  |  ESTIMAND: Evidence coverage proportion across intervention-outcome cells,methods-paper,unpublished
313,EvidenceScore,EvidenceScore: Composite Evidence Quality Scoring Across Multiple Assessment Dimensions,methods  |  ESTIMAND: Composite evidence quality score (0-100),methods-paper,unpublished
314,EvidenceSpectral,EvidenceSpectral: Spectral Analysis of Meta-Analytic Heterogeneity Patterns,methods  |  ESTIMAND: Spectral decomposition of between-study variance,methods-paper,unpublished
315,EvidenceTopology,EvidenceTopology: Topological Data Analysis for Meta-Analytic Clustering,methods  |  ESTIMAND: Persistent homology features and Betti numbers,methods-paper,unpublished
316,HyperMeta,HyperMeta: Evidence Geometry Engine with Seven Mathematical Modules,methods  |  ESTIMAND: Geometric and topological properties of meta-analytic evidence spaces,methods-paper,unpublished
317,InfoGeoMA,InfoGeoMA: Information-Geometric Meta-Analysis on Statistical Manifolds,methods  |  ESTIMAND: Fisher information distance between study-level distributions,methods-paper,unpublished
318,Integrity-Guard-Forensics,Integrity Guard Forensics: Automated Quality Assurance for Clinical Trial Reporting,methods  |  ESTIMAND: Reporting integrity score per trial,methods-paper,unpublished
319,MetaFrontierLab,MetaFrontierLab: Prototype Meta-Analysis Framework for Frontier Methods Development,methods  |  ESTIMAND: Framework extensibility and method integration coverage,methods-paper,unpublished
320,MetaVoI,MetaVoI: Value of Information Analysis from Meta-Analysis Output,methods  |  ESTIMAND: Expected value of perfect and partial information (EVPI/EVPPI),methods-paper,unpublished
321,MoneyTrail,MoneyTrail: Financial Conflict of Interest Detection in Clinical Trial Networks,methods  |  ESTIMAND: Funding bias effect modification on pooled treatment estimates,methods-paper,unpublished
322,PatientMA,"PatientMA: Patient-Centred Meta-Analysis with OutcomeGap, TrialFit, and CardioEvidence Pilots",methods  |  ESTIMAND: Patient-relevance score and outcome gap index,methods-paper,unpublished
323,PriorLab,PriorLab: Interactive Bayesian Prior Elicitation Using SHELF Methods,"methods  |  ESTIMAND: Elicited prior distribution parameters (mean, variance, shape)",methods-paper,unpublished
324,QualSynth,QualSynth: Browser-Based Qualitative Evidence Synthesis with Meta-Ethnography and CERQual,methods  |  ESTIMAND: CERQual confidence assessment for qualitative findings,methods-paper,unpublished
325,SROCPlotter,SROCPlotter: Summary Receiver Operating Characteristic Curve Generator,methods  |  ESTIMAND: Summary sensitivity and specificity with SROC curve AUC,methods-paper,unpublished
326,SafeMA,SafeMA: Anytime-Valid Sequential Meta-Analysis with E-Values,methods  |  ESTIMAND: E-value and anytime-valid confidence sequence,methods-paper,unpublished
327,TherapyGraveyard,TherapyGraveyard: Cardiovascular Drug and Technique Attrition Map,clinical  |  ESTIMAND: Attrition rate and time-to-abandonment by therapeutic class,clinical-meta-analysis,unpublished
328,TransportMA,TransportMA: Causal Transportability Meta-Analysis for External Validity Assessment,methods  |  ESTIMAND: Transportability-adjusted treatment effect,methods-paper,unpublished
329,TrustGate,TrustGate: Trust-Weighted Meta-Meta-Analysis with Evidence Erosion Detection,methods  |  ESTIMAND: Trust-adjusted pooled estimate and evidence erosion rate,methods-paper,unpublished
330,ctgov-registry-survival,CT.gov Registry Survival: Kaplan-Meier Analysis of Trial Registration to Completion,methods  |  ESTIMAND: Median time from registration to results posting,methods-paper,unpublished
331,surroNMA,SurroNMA: Surrogate-Validated Network Meta-Analysis for Oncology and Cardiology,methods  |  ESTIMAND: Surrogate-calibrated treatment ranking,methods-paper,unpublished
332,Reversal-CAST,"When Certainty Kills: The CAST Trial and 50,000 Deaths from Surrogate Endpoint Reliance",clinical  |  ESTIMAND: Relative risk of death with anti-arrhythmic drugs vs placebo,clinical-meta-analysis,unpublished
333,Reversal-HRT-WHI,The WHI Reversal: How Confounding Created a 40-Year Illusion of Cardiac Protection from Hormone Therapy,clinical  |  ESTIMAND: Hazard ratio for cardiovascular events with HRT vs placebo,clinical-meta-analysis,unpublished
334,Reversal-DECREASE,"The DECREASE Fraud: 800,000 Deaths from Fabricated Evidence for Perioperative Beta-Blockers",clinical  |  ESTIMAND: Estimated excess mortality from fraudulent guideline recommendations,clinical-meta-analysis,unpublished
335,Reversal-Magnesium-ISIS4,Magnesium in Myocardial Infarction: When Seven Consistent Small Trials Were Contradicted by One Mega-Trial,clinical  |  ESTIMAND: Odds ratio for mortality with IV magnesium vs control in MI,clinical-meta-analysis,unpublished
336,Reversal-Aprotinin-BART,"Aprotinin and the BART Trial: 15,000 Deaths from Ignoring Confounded Observational Evidence",clinical  |  ESTIMAND: Relative risk of mortality with aprotinin in cardiac surgery,clinical-meta-analysis,unpublished
337,Reversal-Vioxx-VIGOR,"Vioxx and the VIGOR Trial: Selective Reporting, Hidden Heart Attacks, and the Post-Hoc Data Cutoff",clinical  |  ESTIMAND: Relative risk of myocardial infarction with rofecoxib vs naproxen,clinical-meta-analysis,unpublished
338,Reversal-Rosiglitazone-RECORD,Rosiglitazone and RECORD: When a Safety Study Was Designed to Miss the Safety Signal,clinical  |  ESTIMAND: Odds ratio for myocardial infarction with rosiglitazone vs control,clinical-meta-analysis,unpublished
339,Reversal-ACCORD,ACCORD: When Tighter Glucose Control Killed More Patients Than It Saved,clinical  |  ESTIMAND: Hazard ratio for mortality with intensive vs standard glucose control,clinical-meta-analysis,unpublished
340,Reversal-Knee-Arthroscopy,Knee Arthroscopy for Osteoarthritis: A $3 Billion Placebo Unmasked by Sham Surgery Trials,clinical  |  ESTIMAND: Mean difference in pain and function scores between real and sham arthroscopy,clinical-meta-analysis,unpublished
341,Reversal-Paroxetine-Study329,Study 329 and Paroxetine: How Ghost-Written Publications Manufactured Evidence for an Ineffective Drug,clinical  |  ESTIMAND: Efficacy of paroxetine vs placebo for adolescent depression,clinical-meta-analysis,unpublished
342,Reversal-Reboxetine,Reboxetine: The Antidepressant Where 74 Percent of Patient Data Was Hidden from Publication,clinical  |  ESTIMAND: Treatment effect of reboxetine vs placebo when all trial data included,clinical-meta-analysis,unpublished
343,Reversal-Albumin-SAFE,Albumin in Critical Care: When 28 Consistent Small Trials Showed 68 Percent Harm That a Mega-Trial Disproved,clinical  |  ESTIMAND: Relative risk of mortality with albumin vs saline in critical illness,clinical-meta-analysis,unpublished
486,advanced-nma-pooling,Advanced NMA Pooling Toolkit with Bias Adjustment and Survival Extensions,methods  |  ESTIMAND: Bias-adjusted treatment effect (log-odds),methods-paper,unpublished
487,Pairwise70,MAFI: Meta-Analytic Fragility Index Across 501 Cochrane Pairwise Reviews,methods  |  ESTIMAND: Median MAFI fragility index (IQR),methods-paper,unpublished
344,AlBurhan,Al-Burhan — Universal Evidence Orchestrator,Meta-Analysis Pipeline | ESTIMAND: Multi-Engine Evidence Audit Quality,tool-infrastructure,unpublished
